,gameID,gameDate,Team,Opponent,homeRoad,gamesPlayed,Win,Loss,OTLoss,points,pointPct,regulationWins,regulationAndOtWins,shootoutWins,goalsFor,goalsAgainst,goalsForPerGame,goalsAgainstPerGame,powerPlayPct,penaltyKillPct,powerPlayNetPct,penaltyKillNetPct,shotsForPerGame,shotsAgainstPerGame,faceoffWinPct,Year,Month,Season,gameNumber,NonRegulationTime,Result,streak_Win,streak_Loss,rolling_goalsFor,rolling_goalsAgainst,rolling_shotGoalsPct,rolling_savePct,rolling_Win,rolling_Loss,rolling_powerPlayPct,rolling_penaltyKillPct,rolling_Result,rolling_shotsFor,rolling_shotsAgainst,rolling_powerPlayNetPct,rolling_penaltyKillNetPct,rolling_homeWin,rolling_roadWin
25,2019020165,2019-10-26,27,4,1,1,0,1,0,0,0.0,0,0,0,4,7,4.0,7.0,0.0,0.5,-0.2,0.5,26.0,46.0,0.35,2019,10,2019-2020,11,False,0,0,1,4.0,7.0,0.15,0.85,0.0,1.0,0.0,0.5,0.0,26.0,46.0,-0.2,0.5,0.0,0.0
26,2019020169,2019-10-26,20,23,0,1,0,1,0,0,0.0,0,0,0,2,5,2.0,5.0,0.33,0.67,0.33,0.67,37.0,27.0,0.54,2019,10,2019-2020,11,False,0,0,1,2.0,5.0,0.05,0.81,0.0,1.0,0.33,0.67,0.0,37.0,27.0,0.33,0.67,0.0,0.0
27,2019020169,2019-10-26,23,20,1,1,1,0,0,2,1.0,1,1,0,5,2,5.0,2.0,0.33,0.67,0.33,0.67,27.0,37.0,0.46,2019,10,2019-2020,12,False,1,1,0,3.0,2.0,0.11,0.94,0.5,0.5,0.42,0.84,0.5,28.5,33.0,0.42,0.83,0.5,0.0
28,2019020166,2019-10-26,24,5,0,1,0,1,0,0,0.0,0,0,0,0,3,0.0,3.0,0.0,0.0,0.0,0.0,25.0,27.0,0.56,2019,10,2019-2020,13,False,0,0,1,1.33,1.67,0.04,0.94,0.67,0.33,0.07,0.5,0.67,32.33,25.67,0.07,0.5,0.0,0.67
29,2019020167,2019-10-26,25,28,1,1,0,1,0,0,0.0,0,0,0,1,5,1.0,5.0,0.0,1.0,0.0,1.0,31.0,27.0,0.63,2019,10,2019-2020,11,False,0,0,1,1.0,5.0,0.03,0.81,0.0,1.0,0.0,1.0,0.0,31.0,27.0,0.0,1.0,0.0,0.0
30,2019020167,2019-10-26,28,25,0,1,1,0,0,2,1.0,1,1,0,5,1,5.0,1.0,0.0,1.0,0.0,1.0,27.0,31.0,0.37,2019,10,2019-2020,11,False,1,1,0,5.0,1.0,0.19,0.97,1.0,0.0,0.0,1.0,1.0,27.0,31.0,0.0,1.0,0.0,1.0
31,2019020168,2019-10-26,29,19,0,1,1,0,0,2,1.0,0,1,0,2,1,2.0,1.0,0.2,0.67,0.2,0.67,45.0,30.0,0.64,2019,10,2019-2020,12,False,1,1,0,2.0,2.0,0.06,0.95,0.5,0.5,0.1,0.71,0.5,36.5,35.5,0.1,0.71,0.0,0.5
32,2019020168,2019-10-26,19,29,1,1,0,0,1,1,0.5,0,0,0,1,2,1.0,2.0,0.33,0.8,0.33,0.8,30.0,45.0,0.36,2019,10,2019-2020,13,True,0,0,1,3.0,4.0,0.11,0.86,0.33,0.33,0.3,0.93,0.33,29.67,32.67,0.3,0.93,0.0,0.0
33,2019020172,2019-10-27,9,26,0,1,1,0,0,2,1.0,1,1,0,5,2,5.0,2.0,0.0,0.83,0.0,0.83,30.0,36.0,0.57,2019,10,2019-2020,11,False,1,1,0,5.0,2.0,0.17,0.94,1.0,0.0,0.0,0.83,1.0,30.0,36.0,0.0,0.83,0.0,1.0
34,2019020171,2019-10-27,16,18,0,1,0,0,1,1,0.5,0,0,0,4,5,4.0,5.0,0.33,0.5,0.33,0.5,33.0,20.0,0.42,2019,10,2019-2020,12,True,0,0,2,2.0,3.5,0.06,0.84,0.0,0.5,0.16,0.58,0.0,37.0,22.5,0.16,0.58,0.0,0.0
35,2019020173,2019-10-27,2,4,0,1,1,0,0,2,1.0,1,1,0,5,3,5.0,3.0,0.0,1.0,0.0,1.0,33.0,31.0,0.45,2019,10,2019-2020,11,False,1,1,0,5.0,3.0,0.15,0.9,1.0,0.0,0.0,1.0,1.0,33.0,31.0,0.0,1.0,0.0,1.0
36,2019020174,2019-10-27,6,3,1,1,1,0,0,2,1.0,1,1,0,7,4,7.0,4.0,0.0,0.8,0.0,0.8,43.0,29.0,0.51,2019,10,2019-2020,11,False,1,1,0,7.0,4.0,0.16,0.86,1.0,0.0,0.0,0.8,1.0,43.0,29.0,0.0,0.8,1.0,0.0
37,2019020170,2019-10-27,12,21,1,1,1,0,0,2,1.0,1,1,0,6,2,6.0,2.0,0.0,0.67,0.0,0.67,29.0,26.0,0.54,2019,10,2019-2020,11,False,1,1,0,6.0,2.0,0.21,0.92,1.0,0.0,0.0,0.67,1.0,29.0,26.0,0.0,0.67,1.0,0.0
38,2019020171,2019-10-27,18,16,1,1,1,0,0,2,1.0,0,1,0,5,4,5.0,4.0,0.5,0.67,0.5,0.67,20.0,33.0,0.58,2019,10,2019-2020,12,False,1,1,0,2.5,3.5,0.12,0.88,0.5,0.5,0.25,0.71,0.5,23.0,28.5,0.25,0.71,0.5,0.0
39,2019020170,2019-10-27,21,12,0,1,0,1,0,0,0.0,0,0,0,2,6,2.0,6.0,0.33,1.0,0.33,1.0,26.0,29.0,0.46,2019,10,2019-2020,12,False,0,0,1,3.0,4.5,0.09,0.84,0.5,0.5,0.16,0.75,0.5,33.0,28.5,0.16,0.75,0.0,0.5
40,2019020176,2019-10-27,23,31,1,1,0,1,0,0,0.0,0,0,0,2,5,2.0,5.0,0.0,0.5,0.0,0.5,15.0,49.0,0.52,2019,10,2019-2020,13,False,0,0,1,2.67,3.0,0.12,0.92,0.33,0.67,0.28,0.72,0.33,24.0,38.33,0.28,0.72,0.33,0.0
41,2019020175,2019-10-27,25,15,1,1,0,1,0,0,0.0,0,0,0,1,5,1.0,5.0,0.0,1.0,0.0,1.0,39.0,26.0,0.51,2019,10,2019-2020,12,False,0,0,2,1.0,5.0,0.03,0.81,0.0,1.0,0.0,1.0,0.0,35.0,26.5,0.0,1.0,0.0,0.0
42,2019020172,2019-10-27,26,9,1,1,0,1,0,0,0.0,0,0,0,2,5,2.0,5.0,0.17,1.0,0.17,1.0,36.0,30.0,0.43,2019,10,2019-2020,12,False,0,0,2,1.5,4.5,0.06,0.84,0.0,1.0,0.08,1.0,0.0,26.5,28.5,0.08,1.0,0.0,0.0
43,2019020176,2019-10-27,31,23,0,1,1,0,0,2,1.0,1,1,0,5,2,5.0,2.0,0.5,1.0,0.5,1.0,49.0,15.0,0.48,2019,10,2019-2020,13,False,1,1,0,2.33,3.0,0.06,0.9,0.67,0.33,0.17,0.89,0.67,36.33,29.0,0.08,0.89,0.0,0.5
44,2019020177,2019-10-28,30,7,1,1,1,0,0,2,1.0,0,0,1,2,2,2.0,2.0,0.5,0.5,0.5,0.5,44.0,26.0,0.45,2019,10,2019-2020,11,True,1,1,0,2.0,2.0,0.05,0.92,1.0,0.0,0.5,0.5,1.0,44.0,26.0,0.5,0.5,1.0,0.0
45,2019020178,2019-10-28,12,22,1,1,0,1,0,0,0.0,0,0,0,2,7,2.0,7.0,0.5,1.0,0.5,1.0,31.0,36.0,0.46,2019,10,2019-2020,12,False,0,0,1,4.0,4.5,0.14,0.86,0.5,0.5,0.25,0.84,0.5,30.0,31.0,0.25,0.83,0.5,0.0
46,2019020178,2019-10-28,22,12,0,1,1,0,0,2,1.0,1,1,0,7,2,7.0,2.0,0.0,0.5,0.0,0.5,36.0,31.0,0.54,2019,10,2019-2020,11,False,1,1,0,7.0,2.0,0.19,0.94,1.0,0.0,0.0,0.5,1.0,36.0,31.0,0.0,0.5,0.0,1.0
47,2019020177,2019-10-28,7,30,0,1,0,0,1,1,0.5,0,0,0,2,2,2.0,2.0,0.5,0.5,0.5,0.5,26.0,44.0,0.55,2019,10,2019-2020,13,True,0,0,1,2.0,2.67,0.07,0.9,0.33,0.33,0.28,0.83,0.33,28.0,36.33,0.28,0.83,0.0,0.0
48,2019020185,2019-10-29,15,17,1,1,0,1,0,0,0.0,0,0,0,0,3,0.0,3.0,0.0,1.0,0.0,1.0,20.0,51.0,0.47,2019,10,2019-2020,11,False,0,0,1,0.0,3.0,0.0,0.94,0.0,1.0,0.0,1.0,0.0,20.0,51.0,0.0,1.0,0.0,0.0
49,2019020185,2019-10-29,17,15,0,1,1,0,0,2,1.0,1,1,0,3,0,3.0,0.0,0.0,1.0,0.0,1.0,51.0,20.0,0.53,2019,10,2019-2020,12,False,1,2,0,3.0,1.0,0.07,0.97,1.0,0.0,0.2,0.88,1.0,45.5,25.0,0.2,0.88,0.0,1.0
50,2019020179,2019-10-29,6,26,0,1,1,0,0,2,1.0,1,1,0,5,1,5.0,1.0,0.25,0.67,0.25,0.67,41.0,17.0,0.5,2019,10,2019-2020,12,False,1,2,0,6.0,2.5,0.14,0.9,1.0,0.0,0.12,0.74,1.0,42.0,23.0,0.12,0.73,0.0,1.0
51,2019020180,2019-10-29,10,14,0,1,0,0,1,1,0.5,0,0,0,3,4,3.0,4.0,0.12,0.71,0.12,0.71,31.0,33.0,0.6,2019,10,2019-2020,14,True,0,0,2,2.75,3.5,0.09,0.9,0.25,0.5,0.09,0.74,0.25,29.75,31.75,0.09,0.74,0.0,0.5
52,2019020183,2019-10-29,11,19,0,1,1,0,0,2,1.0,1,1,0,2,1,2.0,1.0,0.33,1.0,0.33,1.0,28.0,29.0,0.53,2019,10,2019-2020,12,False,1,2,0,3.0,0.5,0.1,0.98,1.0,0.0,0.66,1.0,1.0,29.5,30.5,0.66,1.0,0.0,1.0
